"screen_name","lat","lon"
"trendinaliaIT",41.9031,12.4958
"Alblint",34.23848611,-118.46283056
"OverseerLewis",36.066,-115.13838
"grbroker",25.60594293,-80.41898754
"nobru_2",-22.87632767,-43.26391465
"sidthirteen",42.25225225,-88.99569418
"swapg",17.43391946,78.4089608
"kathleenyupa",22.2809,114.178
"ImChaunce",32.67150194,-87.29771079
"Naijapals",6.46678646,3.49159241
"Naijapals",6.46678646,3.49159241
"Kelly_1202",41.9075,-87.6769
"Tifannyannie",40.5695076,-111.89566156
"realDonaldTrump",40.7624514,-73.9751351
"AppaloosaGuy",37.47472222,-84.51194444
"trendinaliaBE",50.501,4.4768
"trendinaliaIT",41.9031,12.4958
"AppaloosaGuy",37.47472222,-84.51194444
"trendinaliaIT",41.9031,12.4958
"Chatter_ng",4.828516,7.003183
"Chatter_ng",4.828516,7.003183
"Chatter_ng",4.828516,7.003183
"AppaloosaGuy",37.47472222,-84.51194444
"mmaferlola",40.4340149,-3.7172127
"SanDiegoCP",32.7143122,-117.16627197
"AppaloosaGuy",37.47472222,-84.51194444
